LOCATION	PLOT	YEAR	REP	DM	BM	GY	TGW	F1_OVERALL_1	F1_OVERALL_2	F1_OVERALL_3	F1_OVERALL_4	M2_OVERALL_1	M2_OVERALL_2	M2_OVERALL_3	M2_OVERALL_4	M2_OVERALL_5
geregera	520	2012	2	135	4.166666667	0.876840952	29.39245714	2	2	2	1	4	3	3	3	3
hagreselam	370	2013	1	136	10	3.592092	41.44073143	3	2	3	4	3	2	3	3	2
geregera	96	2013	NA	140	7.5	2.46834	34.7	4	3	4	4	2	4	2	3	4
geregera	417	2013	2	138	10	2.584971429	43.4	4	5	5	5	4	4	4	4	4
hagreselam	105	2013	1	NA	NA	NA	NA	4	3	4	5	2	2	2	2	3
GereGera	524	2013	2	156	NA	NA	NA	4	4	4	5	4	3	4	3	4
geregera	240	2012	missing	146	4.166666667	1.112948571	32.99931429	3	2	2	3	4	NA	3	3	3
hagreselam	432	2012	2	NA	3.125	0.811203214	20.35474286	3	3	3	3	4	4	4	3	4
hagreselam	520	2012	2	115	8.125	3.1265685	38.91988571	4	4	4	4	4	4	3	4	3
geregera	670	2013	2	142	6.25	2.115977143	50.1	4	4	4	4	3	3	2	3	2
geregera	722	2012	2	134	5	NA	29.2904	NA	3	4	3	3	3	3	3	2
geregera	96	2012	1	137	9.166666667	NA	33.93222857	3	3	2	3	5	4	4	4	4
geregera	309	2013	1	146	7.5	1.856285714	38.4	4	3	3	5	2	2	3	2	1
geregera	259	2013	1	149	8.75	2.938504286	45.8	4	4	5	NA	3	4	NA	3	4
geregera	59	2012	1	141	5.833333333	2.117537143	40.30765714	5	5	3	4	5	5	4	4	4
hagreselam	722	2012	2	116	8.125	2.855472714	33.70274286	3	3	4	3	3	3	3	3	2
geregera	784	2012	2	NA	5	0.888180952	33.95885714	2	2	2	3	3	3	2	2	3
hagreselam	432	2013	2	117	7.5	3.278146429	57.12	5	5	4	5	2	NA	2	2	3
hagreselam	370	2012	1	112	6.25	2.637764571	40.94098286	4	4	4	3	5	5	3	4	3
hagreselam	659	2013	2	125	5.625	2.330759	41.37984	4	4	4	4	3	3	2	2	3
hagreselam	81	2012	1	114	4.375	2.083142857	33.79291429	2	3	3	3	4	3	3	2	3
geregera	417	2012	2	134	7.5	1.75397619	38.99257143	4	4	3	4	5	5	4	4	4
hagreselam	259	2012	1	123	10	3.793016929	44.60722286	2	3	3	3	3	4	3	3	4
geregera	24	NA	1	142	6.666666667	1.892180952	29.69268571	3	NA	3	3	4	4	3	3	3
hagreselam	524	2013	2	113	11.25	3.943247786	44.56018286	4	4	4	3	3	2	2	2	3
geregera	432	2012	2	134	8.333333333	2.243592381	36.69942857	3	3	4	4	4	4	3	3	4
hagreselam	96	2012	1	117	11.25	4.466437786	35.12816	3	3	2	3	5	4	4	4	4
geregera	537	2013	2	151	3.75	1.297554286	31	NA	5	4	4	3	3	3	3	3
geregera	733	2012	2	136	5	1.166954286	29.62662857	3	2	2	2	3	3	3	3	3
hagreselam	349	2012	1	114	6.25	1.8958445	30.23856	2	2	2	2	5	3	3	4	5
hagreselam	99	2012	1	124	10.625	4.002200714	40.21373714	2	2	4	3	3	5	4	5	5
geregera	55	2013	1	NA	10	2.526908571	39.1	5	4	4	4	2	3	3	2	2
hagreselam	657	2013	2	120	11.25	3.379597071	54.97632	4	4	4	3	3	2	2	3	3
hagreselam	419	2013	2	138	6.875	1.940565714	48.79588571	4	4	4	5	3	3	3	3	3
geregera	430	2013	2	142	6.25	2.51304	47.6	4	4	4	NA	2	3	3	2	NA
hagreselam	155	2013	1	130	6.875	2.379015786	47.10957714	4	4	4	3	2	2	3	2	2
geregera	430	2012	2	138	5.833333333	1.672205714	39.336	3	3	4	3	5	5	4	5	3
geregera	419	2013	2	142	5	1.773792857	38.6	4	4	4	4	3	3	4	2	2
geregera	787	2013	2	150	3.75	1.2502	39.8	5	4	4	5	3	3	3	NA	3
hagreselam	28	2013	1	124	8.75	NA	46.21897143	5	4	NA	5	3	3	4	2	3
geregera	657	2012	2	121	NA	NA	24.89874286	1	1	1	1	3	3	3	3	3
GereGera	105	2012	1	137	5	1.191666667	35.36	3	3	3	3	5	4	3	4	4
hagreselam	787	2013	2	136	7.5	2.55316	44.71936	5	4	4	5	3	3	3	3	3
hagreselam	417	2013	2	131	7.5	1.6975485	38.55168	4	NA	4	5	3	3	3	2	4
hagreselam	537	2012	2	116	7.5	2.164718571	42.88402286	4	4	4	4	4	4	4	4	4
hagreselam	55	2013	1	120	11.25	4.041224571	53.38148571	3	4	4	4	2	2	2	NA	2
geregera	370	2012	1	128	5	1.727792381	NA	4	4	4	NA	5	5	3	4	3
GereGera	419	2012	2	149	2.083333333	0.704954286	33.13371429	2	2	2	2	2	2	2	2	2
geregera	55	2012	1	150	5	1.496194286	31.1664	4	2	4	NA	2	3	3	3	3
geregera	59	2013	1	142	7.5	2.017028571	39.9	4	4	4	4	2	3	3	3	3
geregera	370	2013	1	138	8.75	3.137885714	42.6	2	2	3	3	3	2	2	2	2
hagreselam	784	2012	2	119	6.25	2.502566143	32.76096	2	2	2	3	3	3	2	2	3
geregera	99	2013	1	146	12.5	4.2008	43.6	4	4	NA	4	NA	3	4	3	3
hagreselam	787	2012	2	112	8.125	3.028408214	39.12020571	1	1	1	1	1	1	1	1	2
geregera	659	2013	2	155	3.75	1.2816	44.9	NA	3	4	3	2	3	2	3	3
geregera	520	2013	2	152	5	1.439117143	36	4	5	NA	5	3	3	3	3	3
geregera	432	2013	2	140	3.75	1.670742857	49.2	5	4	4	5	3	4	3	4	3
hagreselam	430	2012	2	122	5	1.786782857	41.06112	3	3	4	4	4	4	3	3	4
hagreselam	657	2012	2	NA	6.875	2.142419714	34.82964571	4	3	3	3	4	3	4	NA	4
hagreselam	722	2013	2	123	10	4.075626	41.03232	5	4	3	5	2	3	3	3	2
hagreselam	55	2012	1	124	6.875	2.579026857	33.68192	4	2	4	4	2	3	3	3	3
GereGera	105	2013	1	145	13.75	NA	46.5	4	3	5	5	NA	3	3	3	4
hagreselam	281	2013	1	118	8.75	2.963298571	40.26043429	5	4	4	5	3	3	3	3	3
